# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-45 UTC;18327.00;18327.00;0.00;163912.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-45 UTC;72516.00;0.00;36808.00;15819.00;1212.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-45 UTC;64397640;956260;1.46;6592;83788;774892;1.19;145244;13520;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-45 UTC;-1;0.63;0.00;4.89;10.04;0.00;84.44
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-46 UTC;16542.00;16540.00;2.00;135448.00;16.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-46 UTC;66748.00;4.00;34802.00;16436.00;1064.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-46 UTC;64330284;1023616;1.57;6700;150400;774936;1.19;145928;15140;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-46 UTC;-1;0.26;0.00;2.94;8.56;0.00;88.25
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-47 UTC;8765.00;8758.00;7.00;71520.00;32.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-47 UTC;35232.00;8.00;97111.00;8677.00;121485.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-47 UTC;64462884;891016;1.36;1680;24256;774196;1.18;144652;5332;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-47 UTC;-1;0.13;0.00;4.42;6.57;0.00;88.87
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-48 UTC;16498.00;16498.00;0.00;135464.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-48 UTC;66676.00;0.00;35432.00;16401.00;1358.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-48 UTC;64395292;958608;1.47;1760;91200;774148;1.18;144676;6292;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-48 UTC;-1;0.38;0.00;3.19;8.16;0.00;88.27
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-49 UTC;16412.00;16412.00;0.00;131296.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-49 UTC;65648.00;0.00;32932.00;16399.00;496.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-49 UTC;64329580;1024320;1.57;1812;156648;774148;1.18;144684;6576;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-49 UTC;-1;0.38;0.00;2.55;7.92;0.00;89.14
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-50 UTC;24052.00;24040.00;12.00;192320.00;148.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-50 UTC;96308.00;26.00;122183.00;21001.00;1095.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-50 UTC;63892892;1461008;2.24;14128;552404;1340920;2.05;156284;71584;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-50 UTC;-1;4.76;0.00;6.43;46.14;0.00;42.67
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-51 UTC;20742.00;20740.00;2.00;165920.00;4.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-51 UTC;82824.00;2.00;41367.00;20644.00;152.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-51 UTC;63801052;1552848;2.38;14376;634968;1340920;2.05;158092;153904;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-51 UTC;-1;5.12;0.00;5.12;73.27;0.00;16.50
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-52 UTC;22007.00;22005.00;2.00;176040.00;16.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-52 UTC;87952.00;4.00;45906.00;21988.00;1054.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-52 UTC;63707296;1646604;2.52;14376;723100;1340920;2.05;158256;241644;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-52 UTC;-1;6.27;0.00;6.39;71.48;0.00;15.86
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-53 UTC;21902.00;21902.00;0.00;175704.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-53 UTC;87572.00;0.00;43786.00;21825.00;491.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-53 UTC;63616876;1737024;2.66;14640;811268;1340920;2.05;158256;329172;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-53 UTC;-1;6.15;0.00;2.62;78.01;0.00;13.22
sasa.cl.cam.ac.uk;1;2013-03-25 07-35-54 UTC;24436.00;24436.00;0.00;195488.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-54 UTC;97736.00;0.00;51465.00;24434.00;1288.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-54 UTC;63515996;1837904;2.81;14640;908824;1340920;2.05;158432;427296;sasa.cl.cam.ac.uk;1;2013-03-25 07-35-54 UTC;-1;5.38;0.00;4.20;78.35;0.00;12.07
