WCC-MT-ER	WCC-SKY-ER
72516	63840
66748	57844
35232	39461.39
66676	52392
65648	55676
96308	49256
82824	93900
87952	241716
87572	241340
97736	241320
82604	240312
92172	239920
102696	168584
96876	210956
104796	238592
94096	140260
100200	236736
89364	202124
93224	196440
75624	233252
82168	234496
99220	234216
96048	234524
92212	230432
89488	117440
80804	236828
93028	234288
38664	234520
105128	234268
115552	198148
82176	230280
85508	234176
90776	118900
100756	208228
96800	234328
79432	193008
111192	200340
102736	225600
87192	205016
97172	160784
85540.59	169456
94516	222128
91296	189596
90472	209496
102848	235160
95052	234732
93312	235300
67620	204408
65012	197400
88236	200132
96292	203608
97172	229076
88160	235028
97308	204388
85916	174312
106500	225192
97700	235644
105144	235468
92224	235584
96032	234660
94520	199028
95740	165372
139064	235188
136372	235424
127132	235212
101440	192736
95684	229912
53600	174816
109220	237168
103756	235784
98424	235420
86164	235804
95660	157932
88488	235976
94636	235940
114632	235680
121092	236012
97588	188060
108468	227572
92036	235580
137712	236084
116600	236176
87872	191524
84137	235424
102116	236080
107832	235984
102064	236508
111036	182468
124516	236376
103552	236212
100828	209496
104396	222352
116188	192732
98004	236000
126700	236416
92644	205536
101656	199396
117516	188228
100492	236472
54500	196476
109240	197512
105248	202320
115276	193680
127160	235912
111136	235836
115756	235048
101996	203424
107108	236792
123536	202056
125688	235016
97732	210908
94512	229800
105684	235716
63056	235448
105732	224132
98340	218076
100516	236304
90544	236016
108300	208268
86588	209748
103312	232560
107312	235072
103472	235064
131204	216856
100896	219156
104980	216596
104376	234692
64268	233448
121092	212228
111184	234164
99600	235416
128152	233988
92884	217436
106660	231188
102756	235504
113300	234204
118328	221748
123148	188136
119212	199368
73228	231228
116040	194408
110460	220052
121424	230124
142844	234940
135340	234064
115252	225484
121600	187724
96504	234048
127364	234704
110168	232912
77452	150164
126892	228956
138024	234904
112640	208684
162152	225040
112004	223528
126196	194924
117108	234100
133304	232552
93848	175504
81016	228644
106688	207456
97864	233888
127576	231912
149252	223344
151968	232600
140060	233820
138792	152608
128396	192508
73288	227292
144292	232860
127160	233428
137864	196088
120752	225384
164780	219376
124504	180472
112432	233256
86464	229356
159136	227880
147192	232500
117200	233748
113920	231848
161592	226764
131240	192140
120836	233492
96528	232160
125840	228536
127544	230796
147144	233296
186424	232552
123844	230152
148460	227748
124444	232336
129796	194072
132788	232104
180500	188376
136008	230428
129604	232860
148280	232680
102220	230048
158224	229788
134832	232316
157932	204620
181572	231364
163396	229376
155620	194192
112508	233148
116816	231444
140076	229608
127524	230664
172572	232564
117332	232728
131876	231804
144560	229280
127236	232720
143020	232908
137440	232208
181500	229160
156304	231756
138916	233092
178780	231912
172036	230328
193304	231308
150528	232212
145944	232376
173192	229948
116696	230248
146484	210352
148088	178320
163776	231472
136196	230468
155348	230660
124584	195944
164044	232376
151192	231120
143220	230316
191328	231924
165872	232180
144164	231256
154192	229864
123560	232080
122824	232404
149104	231892
127556	230444
168548	231584
175888	232260
163440	194568
141780	230976
190028	230528
150536	232164
144668	232184
181140	231676
176756	230844
170284	232204
151160	232316
151420	231472
196564	231316
163552	231080
166060	231680
158844	231328
191872	231040
128084	192836
180400	231548
200060	232636
118440	231216
159588	230940
138276	231616
124904	232692
175572	231660
208064	230896
158824	231616
173392	231840
213248	231960
197084	231240
194724	224440
184008	207316
181668	232152
179212	230952
145796	206372
202012	231500
154136	231648
201020	231688
168420	231100
197188	231808
176820	231972
195984	232440
211568	230444
174076	196440
183636	231332
215284	200128
182024	231020
187540	231012
144604	231160
134176	205288
193880	231228
198516	231556
199960	231008
219520	231424
173956	232044
187372	231404
149820	232024
190660	231548
169808	231524
172120	231544
192928	205148
188612	195580
180400	231836
152052	231356
217548	231496
220844	231456
199832	231916
194688	231892
152608	231712
170248	230840
219000	231508
219548	231740
164156	231508
220728	230888
210876	231336
172768	231768
220956	231652
193676	231508
192588	196192
216392	231840
221024	225084
220524	212696
193436	231444
175520	231576
187616	231216
193356	230884
220828	231728
163780	231128
192784	231608
216724	231288
193112	231468
193664	231320
134828	231596
212080	232120
153612	230896
210852	230448
220736	231248
208532	230788
206120	232304
220832	231088
184344	231376
170552	232008
191448	230320
161380	201924
185760	231272
200904	231176
220848	230832
217330.69	203596
218256	199064
191308	231204
192032	230728
147792	232072
192012	231260
204688	231228
187928	231520
189216	231720
192412	231668
194276	230864
216768	231588
177812	231008
215220	231116
193204	231248
178452	232004
216440	229980
165344	
212936	
198480	
218204	
196272	
216180	
196836	
189432	
196084	
189804	
220708	
195236	
194460	
220468	
217352	
195944	
207356	
204772	
192124	
188476	
196128	
191756	
218672	
220928	
217316	
194380	
215604	
196384	
140048	
216476	
220852	
175816	
195768	
219176	
205292	
208820	
214948	
184024	
170236	
175828	
174628	
191572	
157964	
180824	
191640	
216416	
220756	
216008	
178420	
201644	
212700	
220504	
192636	
193636	
199028	
219772	
188760	
191848	
220572	
215784	
195968	
214544	
169508	
200920	
215600	
167460	
195216	
217104	
192348	
217472	
218240	
220252	
190776	
220824	
193200	
192432	
167204	
185800	
219396	
148980	
205576	
178096	
203412	
220756	
192176	
172852	
160500	
217120	
192940	
220748	
216776	
186980	
179664	
200896	
195364	
163084	
193716	
220664	
191536	
220852	
207092	
176380	
193112	
216604	
220836	
193248	
177104	
213564	
198268	
212776	
195292	
220732	
212652	
200676	
192884	
197664	
212776	
195480	
191532	
197784	
171992	
220544	
197604	
218636	
220968	
217276	
195272	
217700	
220568	
188240	
196576	
197444	
193876	
182384	
207768	
216496	
174288	
210308	
220780	
220852	
188248	
220584	
217264	
197888	
218728	
218340	
220696	
217680	
215248	
191984	
192840	
219996	
