# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-41 UTC;5564.00;5562.00;2.00;310240.00;4.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-41 UTC;146676.00;2.00;63135.00;27.00;967.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-41 UTC;64064908;1288992;1.97;7220;159672;1053220;1.61;398312;153304;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-41 UTC;-1;4.41;0.00;4.16;11.59;0.00;79.85
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-42 UTC;1787.00;1787.00;0.00;382200.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-42 UTC;190232.00;0.00;92291.00;14.00;1217.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-42 UTC;63515632;1838268;2.81;7748;349308;1475780;2.26;757084;343028;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-42 UTC;-1;14.98;0.00;2.62;13.73;0.00;68.66
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-43 UTC;2261.00;2261.00;0.00;521584.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-43 UTC;260536.00;0.00;125057.00;0.00;61433.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-43 UTC;62999748;2354152;3.60;8264;609148;1725596;2.64;1017740;598956;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-43 UTC;-1;11.31;0.00;3.02;7.04;0.00;78.64
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-44 UTC;1076.00;1037.00;39.00;250896.00;608.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-44 UTC;125448.00;104.00;62105.00;0.00;61969.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-44 UTC;62875276;2478624;3.79;8396;734448;1723732;2.64;1025136;715480;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-44 UTC;-1;13.28;0.00;4.76;4.01;0.00;77.94
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-45 UTC;2.00;2.00;0.00;64.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-45 UTC;32.00;0.00;2201.00;0.00;528.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-45 UTC;62866152;2487748;3.81;8396;735024;1731924;2.65;1034804;716088;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-45 UTC;-1;13.02;0.00;0.13;0.00;0.00;86.86
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-46 UTC;1029.00;1026.00;3.00;247280.00;24.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-46 UTC;123640.00;8.00;61270.00;0.00;61498.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-46 UTC;62746300;2607600;3.99;8528;858556;1728580;2.64;1035484;835368;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-46 UTC;-1;13.57;0.00;1.38;2.51;0.00;82.54
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-47 UTC;1026.00;1026.00;0.00;246960.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-47 UTC;123480.00;0.00;57578.00;0.00;60037.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-47 UTC;62630120;2723780;4.17;8652;981428;1721028;2.63;1031836;953980;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-47 UTC;-1;12.56;0.00;1.63;2.39;0.00;83.42
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-48 UTC;906.00;895.00;11.00;215184.00;80.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-48 UTC;107720.00;16.00;57999.00;0.00;61171.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-48 UTC;62539136;2814764;4.31;8760;1088968;1720608;2.63;1019648;1057172;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-48 UTC;-1;13.23;0.00;2.25;2.00;0.00;82.52
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-49 UTC;132.00;130.00;2.00;32184.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-49 UTC;15964.00;0.00;6253.00;0.00;539.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-49 UTC;62498312;2855588;4.37;8776;1105564;1728804;2.65;1044696;1073756;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-49 UTC;-1;13.11;0.00;0.37;0.37;0.00;86.14
sasa.cl.cam.ac.uk;1;2013-03-26 23-19-50 UTC;997.00;997.00;0.00;240472.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-50 UTC;120236.00;0.00;60000.00;0.00;60724.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-50 UTC;62382952;2970948;4.55;8896;1225632;1723448;2.64;1043548;1189604;sasa.cl.cam.ac.uk;1;2013-03-26 23-19-50 UTC;-1;13.39;0.00;1.88;2.25;0.00;82.48
