SKY CPU%	GCHI CPU%
1.14	4.41
0.39	14.98
0.39	11.31
0.65	13.28
0.39	13.02
0.64	13.57
0.26	12.56
0.13	13.23
0.26	13.11
0.38	13.39
0.26	12.95
0.39	13.32
0.52	13.23
0.39	13.61
0.26	13.68
0.39	16.5
16.02	17.15
18.09	17.52
18.35	19.85
18.65	17
18.23	17.21
18.25	14.75
19.42	13.86
18.44	13.16
21.8	13.52
21.73	13.64
17.87	16.54
17.49	17.46
21.08	13.95
21.96	18.82
15.64	17.84
23.1	19.02
18.77	19.52
19.77	20.4
19.55	19.55
20.43	17.44
21.25	18.25
22.06	17.73
22.33	16.67
22.53	15.75
22.62	18.65
20.78	19.32
21.47	15.95
23.06	21.78
23.37	17.06
23.43	18.6
22.84	15.79
23.34	20.57
23.12	17.02
23.34	16
23.43	17.21
22.77	22.1
23.72	16.1
18.97	20.55
23.18	17
23.59	19.02
23.28	16.62
23.53	19.85
23.47	20
23.78	19.38
23.4	20.47
23.12	17.38
23.75	23.53
23.22	20.1
18.17	18.48
23.46	18.41
23.43	22.08
23.72	20.4
23.47	20.25
23.21	17.82
23.85	20.15
23.65	17.02
23.4	23.15
23.24	18.72
23.47	17.71
24.16	21.28
19.12	19
23.59	22.96
23.4	21.65
20.63	23.62
20.23	15.2
18.7	21.36
19.62	20.6
20.1	20.35
19.42	23.4
21.06	19.4
21.26	21.58
22.04	18.55
24.28	24.25
24.56	25.44
24.59	22.18
24.22	20.12
22.93	20.5
19.34	25.53
16.27	26.82
21.43	14
24.06	28.25
24.28	23.65
24.28	19.9
24.47	19.5
24.22	29.86
24.78	19.12
24.53	16.88
24.12	27.97
24.34	14.77
24.44	26.4
24.34	28.82
24.47	14.98
24.78	25.41
24.41	26.51
24.41	14.34
24.56	23.28
24.78	29.3
24.78	13.66
24.47	30.3
24.47	29.18
24.28	14.89
24.5	27.47
19.42	26.03
24.75	18.72
24.56	32.33
24.69	16.96
24.72	27.85
24.78	23.96
24.88	23.94
24.84	32.79
24.84	14.43
24.56	31.87
23.96	27.25
24.78	19.5
24.38	31.75
25.03	16.23
24.75	34.09
24.75	14.62
24.69	33.46
24.78	27.25
24.88	19.92
24.81	31.49
24.75	17.65
24.69	37.44
25	14.02
24.84	34.71
24.75	16.27
25.03	32.12
24.75	23.6
25.06	24.22
24.66	12.25
24.78	37.36
20.35	22.21
24.87	19.37
24.97	17.27
24.72	33.46
24.78	23.97
24.78	13.34
24.78	21.05
24.75	31.79
24.72	15.94
24.69	32.33
24.53	15.52
24.94	27.84
25.06	22.4
24.72	19.52
24.78	23.71
24.75	27.94
24.66	13.75
24.62	37.64
24.91	26.32
24.47	28.77
24.62	36.12
24.5	38.58
24.66	40.5
24.91	19.7
24.84	11.01
24.56	
24.44	
25.03	
24.75	
24.53	
24.56	
24.69	
24.78	
24.81	
20.03	
24.88	
24.97	
24.69	
24.78	
24.5	
24.75	
24.69	
24.72	
24.5	
24.72	
24.31	
24.62	
24.78	
24.56	
24.72	
24.66	
24.84	
24.88	
24.81	
24.91	
25.03	
24.75	
24.59	
24.41	
24.91	
24.41	
24.94	
24.75	
25.12	
24.44	
24.72	
24.75	
25.12	
24.59	
20.1	
24.25	
24.47	
24.5	
24.97	
24.88	
24.91	
24.69	
24.53	
24.88	
24.94	
25.06	
24.66	
24.84	
24.62	
24.84	
17.79	
