%CPU-GCHI	%CPU-SKY
1.27	13.43
0.64	14.61
0.26	12.28
0.65	16.9
0.4	12.3
0.39	15.16
0.39	12.66
0.26	13.23
0.26	15.14
0.52	12.39
0.52	15.88
0.4	12.25
0.26	15.56
0.52	11.88
0.39	12.66
1.66	16.29
9.76	12.52
12.56	16.04
12.02	12.39
14.09	13.77
7.31	14.61
8.07	12.52
14.45	16.04
15.08	12.52
14.97	18.95
13.43	13.41
7.93	14.81
8.41	19.98
8.92	17.21
12.63	19.17
10.01	17.12
9.99	21.5
13.72	12.48
14.41	16.81
11.77	16.33
6.61	12.62
5.46	16.92
15.06	12.03
13.84	12.39
13.35	15.54
14.36	12.52
11.19	17.33
13.68	12.66
14.27	19.82
13.35	12.3
14.59	13.63
12.94	20.33
11.84	12.88
14.86	21.57
13.51	13.11
14.84	19.85
14.99	13.47
14.12	13.11
10.98	22.18
10.98	13.48
11.88	24.12
14.38	17.77
13.51	21.48
9.87	13.63
12.61	20.62
11.45	21.51
12.94	18.55
14.47	23.18
15.74	16.38
15.51	17.77
14.11	15.87
11.49	13.39
15.38	22.75
12.15	17.16
13.56	17.34
12.94	17.79
13.27	13.5
12.52	25.73
10.33	16.33
12.71	15.91
11.22	21.8
7.61	16.19
10.55	15.86
11.58	20.5
10.58	18.59
11.2	22.86
10.22	12.89
7.37	17.54
11.11	24.34
8.28	12.72
9.37	22.62
10.89	22.53
12.12	19.02
11.1	18.08
10.64	22.4
9.91	17.96
11.34	25.65
9.22	13.28
8.8	18.99
9.14	26.09
8.66	12.89
7.56	19.77
9.52	25.35
9.06	13.25
9.31	20.38
10.19	29.43
9.03	12.89
9.29	21.4
7.6	27.22
8.94	13.48
9.58	18.15
7.99	26.25
8.06	15.59
7.74	22.6
10.41	24.59
10.33	18.92
9.71	20.55
11.08	20.07
12.09	21.55
12.6	19.4
13.6	17.79
13.02	30.61
11.31	13.27
12.23	27.28
12.96	27.07
11.21	13.78
8.3	22.38
9.82	28.46
9.72	13.68
7.78	23.1
8.55	18
8.39	30.78
7.33	14
8.61	27.75
10.08	30.12
11.79	12.77
9.82	19.92
9.58	22.4
9.85	28.89
7.8	14.98
8.87	22.78
6.25	18.9
7.64	32.33
7.76	15.23
9.75	27.73
8.12	32.25
8.05	17.9
7.92	24.06
7.74	22.49
7.81	34.51
7	16.92
8.24	27.38
6.18	22.06
8.62	35.88
7.6	15.66
6.66	28.05
7.79	21.93
6.46	36.03
7.74	12.64
7.49	27.66
8.6	19.7
6.08	38.07
7.98	13.41
9.4	27.31
9.29	28.79
8.62	33.33
7.46	18.15
5.96	17.9
6.88	31.95
5.69	22.5
5.86	38.67
6.61	16.88
6.41	29.5
6.03	22.43
7.2	36.5
6.92	13.78
7.1	23.62
6.83	26.28
6.21	24.59
6.97	31.91
7.69	17.6
8.86	32.88
7.53	22.21
6.14	39.6
8.71	15.64
6.95	21.1
7.23	31.79
9.16	23.12
9.37	38.62
8.24	18.27
8.5	34.29
10.09	21.2
6.98	30.49
6.63	29.57
8.49	20.38
7.41	36.8
7.34	21.9
7.37	41.43
7.74	19.15
6.62	30.83
6.57	28.54
7.36	22.31
8.56	42.43
6.41	13.02
7.04	36.86
7.11	24.38
6.99	24.03
6.99	45.12
6.67	21.2
6.57	37.89
7.21	24.34
6.85	30.03
7.22	33.75
6.74	21.25
5.84	39.07
6.71	19.57
6.98	27.22
7.36	44.17
9.99	21.25
6.19	42.03
7.43	17.04
6.95	29.4
6.8	42.32
6.2	20.88
10.61	41.88
6.81	14.39
7.95	26.93
7.48	44.56
8.99	16.06
6.62	43.93
6.47	21.18
6.08	24.09
6.05	42.46
5.8	15.5
7.38	44.67
5.73	18.52
4.85	24.62
5.99	41.89
6.5	17.15
6.73	39
5.66	18.65
5.97	26.57
5.56	41.8
5.6	20.83
5.6	36.6
5.72	19.98
5.46	38.05
5.5	13.02
6.23	42.62
4.6	21.15
5.8	35.46
5.81	28.39
6.57	45.29
5.83	33.21
6.59	27.07
6.01	45.92
5.55	45.99
4.59	43.43
4.77	62.08
4.57	36.17
5.56	12.52
5.1	20.33
5.26	12.64
5.1	16.71
5.58	12.38
4.73	15.43
6.35	12.5
5.96	15.64
6.2	12.38
5.46	16.6
4.6	12.73
5.53	15.31
6.3	12.52
5.18	16.25
5.47	12.41
6.48	17
6.02	12.61
6.19	15.91
5.42	12.75
4.84	15.98
6.5	12.55
5.96	19.25
5.18	12.75
5.71	15.89
5.27	21
5.45	17.06
5.04	21.18
6.1	12.48
5.28	17
4.19	21.9
4.65	12.75
5.85	16.44
5.41	17.25
4.69	12.53
5.32	16.38
5.82	12.05
5.58	14.88
4.58	19.12
6.18	18.02
4.85	13.03
4.94	20.1
5.28	12.73
4.68	20.8
4.83	13.02
5.53	12.66
5.08	21.53
5.08	12.91
5.18	21.08
4.43	12.52
5.08	19.8
4.94	14.77
4.59	12.55
4.94	23.1
5.45	14.02
6.01	20.88
5.66	16.21
4.65	17.88
5.78	22.47
5.05	12.73
4.94	17.93
5.17	22.96
4.33	13.11
5.45	17.08
5.42	19.17
5.2	12.75
4.17	22.81
6.02	13.23
5.08	15.79
5.42	21.95
5.65	12.78
4.91	17.65
6.16	19.23
5.4	14.75
5.06	24.94
5.16	12.39
5.68	12.88
5.93	26.09
5.3	13.11
4.92	15.29
6	25.16
6.28	12.39
5.57	12.42
4.77	25.84
4.82	12.77
6.02	17.27
5.44	24.66
5.3	12.12
4.68	18.12
5.05	24.72
5.07	12.56
5.39	16.48
5.44	25.62
4.79	12.91
5.22	14.02
5.92	27.32
5.3	12.91
5.94	13.64
5.67	24.47
5.9	17.94
5.06	12.53
5.18	19.42
5.8	25.72
5.79	13.28
5.44	18.65
6.04	25.5
5.43	12.91
6.16	15.61
5.79	26.38
6.16	12.92
6.68	18.3
6.71	26.78
6.94	13.55
7.18	14.21
8.42	18.98
9.23	24.03
9.22	13.43
9.25	18.67
6.94	28.32
8.29	14.25
9.34	18.85
8.98	28.75
10.11	12.66
9.06	14.12
9.8	19.2
9.66	26.16
10.75	14.23
10.71	19
10.24	30.48
11.06	12.75
11.56	14.41
9.86	19.77
11.25	27.72
11.79	14.39
11.35	12.75
10.47	22.04
11.55	26.88
13.3	15.64
16.6	18.57
17.29	17.48
17.27	27.16
17.84	16.02
20.55	19.23
	23.25
	21.58
	15.83
	20.22
	19.25
	28.16
	19.62
	21.82
	20.9
	30.25
	16.27
	20.15
	17.61
	31.04
	12.88
	16.21
	22.99
	33.62
	12.77
	21.28
	23.71
	25.72
	21.28
	20.05
	22.56
	22.31
	31.87
	12.77
	18.58
	23.66
	35.88
	14.14
	18.8
	22.53
	18.34
	32.79
	12.62
	21.55
	22.94
	32.79
	20.22
	20.28
	24.72
	20.72
	33.88
	12.89
	19.42
	27.07
	17.94
	37.28
	20.43
	28.91
	12.75
	27.5
	28.02
	22.78
	29.43
	18.11
	28.57
	22.22
	22
	30.79
	20.1
	28.93
	21.15
	21.93
	30.54
	20.45
	37.41
	12.77
	23.03
	31
	20.83
	37.95
	14.66
	21.43
	31.96
	20.28
	29.11
	21.9
	21.98
	32.21
	12.75
	25.47
	34.04
	21.62
	33.21
	12.91
	22.15
	33.88
	21.25
	31.58
	12.75
	22.08
	32.33
	19.88
	29.84
	12.78
	25.19
	30.25
	21
	27.88
	19.98
	27.53
	12.86
	32.83
	19.5
	29.75
	25.19
	34.25
	29.68
	34.16
	33.5
	39.02
	38.78
	33.08
	17.17
	14.88
	12.05
	12.89
	12.05
	13.02
	13.89
	12.05
	13.02
	12.48
	13.53
	14.82
	12.16
	13.68
	12.17
	13.88
	18.45
	12.3
	15.77
	20.43
	17.19
	19.35
	16.94
	20.53
	13.63
	18.77
	12
	14.04
	11.89
	13.03
	17.17
	12.25
	18.38
	12.75
	18.85
	12.38
	19.75
	12.3
	20.25
	13.2
	19.42
	12.8
	21.8
	16.85
	21.08
	13.64
	24.37
	12.62
	18.55
	20.82
	15.88
	19.6
	12.11
	22.25
	12.75
	21.43
	14.48
	14.79
	21.05
	15.93
	20.32
	12.67
	22.82
	12.64
	16.75
	19.88
	12.78
	23.37
	12.41
	17.35
	21.78
	15.64
	25.25
	12.89
	16.12
	22.1
	13.88
	25.66
	12.61
	17.75
	22.53
	12.41
	26.03
	16.67
	16.79
	23.38
	13.12
	17.71
	21.58
	17.75
	25.25
	12.42
	16.79
	23.88
	12.91
	24.94
	16.75
	17.92
	24.16
	13.25
	17.31
	24.25
	13.23
	23.96
	21
	17.27
	26
	12.62
	17.69
	25.87
	12.86
	18.44
	26.9
	13.41
	17.98
	28.29
	13.86
	19.85
	25.91
	15.14
	23.22
	24.16
	14.89
	22.08
	25.78
	14.52
	19.97
	25.87
	22.71
	22.35
	17.29
	21.62
	29.56
	12.77
	18.4
	30.09
	12.73
	21.93
	27.12
	15.39
	23.62
	21.46
	21.55
	22.9
	27.91
	15.5
	26.47
	16.9
	28.12
	27.38
	16.4
	31.37
	27.39
	16.5
	28.25
	27.16
	15.29
	31.91
	27.73
	17.57
	31.45
	21.36
	23.81
	32.96
	18.52
	25.09
	35.18
	16.35
	26.73
	24.62
	22.1
	34.13
	16.04
	31.54
	17.11
	26.12
	26.38
	21.88
	29.79
	17.93
	28.91
	27.41
	17.31
	23.94
	27.23
	24.94
	32.79
	25.12
	42.68
	38.9
	30.08
	17.25
	14.62
	14.32
	13.86
	13.96
	13.53
	13.95
	23.75
	15.18
	15.43
	20.15
	16.02
	16.6
	24.12
	17.56
	17.75
	18.07
	17.98
	20.18
	16.44
	17.9
	18.15
	20.1
	18.4
	18.45
	18.52
	18.59
	17.92
	19.55
	18.65
	19.45
	19.62
	18.45
	17.82
	21.03
	18.67
	21.23
	19.15
	21.47
	23.21
	17.08
	21.43
	20.55
	23.9
	17.23
	22.84
	21.45
	18.77
	22.5
	21.8
	19.4
	24.12
	22.6
	18.42
	25.19
	25.94
	17.57
	22.08
	21.1
	24.22
	22.54
	26.78
	24.66
	21
	24.88
	21.35
	24.91
	24.34
	27.91
	25.25
	21.43
	23.97
	19.77
	23.92
	22.81
	28.68
	21.38
	30.2
	25.25
	16.27
	15.61
	18.3
	15.69
	16.52
	20.55
	21.22
	17.61
	17.12
	18.15
	21.33
	18.58
	17.09
	17.29
	16.31
	18.64
	19.05
	17.96
	20.95
	15.29
	20
	20.12
	22.96
	15.46
	21.33
	20.65
	17.6
	22.33
	20.88
	17.65
	23.71
	21.1
	16.42
	22.33
	22.11
	20.98
	21.6
	18.72
	24.53
	23.06
	22.86
	21.68
	25.13
	24.12
	20.28
	23.71
	20
	26.43
	25.25
	23.96
	24.5
	24.53
	28.41
	29.54
	32.79
	19.92
	20.6
	24.19
	19.6
	19.12
	20.85
	22.18
	22.78
	18.23
	22.71
	22.21
	31.45
	13.16
