# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-00 UTC;11728.00;11724.00;4.00;1742336.00;20.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-00 UTC;435656.00;2.00;212591.00;78.00;10554.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-00 UTC;63248284;2105616;3.22;3532;448292;1924480;2.94;929520;436380;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-00 UTC;-1;13.43;0.00;6.78;21.58;0.00;58.22
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-01 UTC;1993.00;1973.00;20.00;307648.00;176.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-01 UTC;76724.00;44.00;102403.00;2.00;89016.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-01 UTC;63110464;2243436;3.43;3852;523996;1736960;2.66;991724;513336;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-01 UTC;-1;14.61;0.00;2.50;2.25;0.00;80.65
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-02 UTC;28.00;28.00;0.00;288.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-02 UTC;72.00;0.00;3182.00;2.00;27089.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-02 UTC;63190776;2163124;3.31;3900;524236;1654964;2.53;910780;513772;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-02 UTC;-1;12.28;0.00;0.50;0.38;0.00;86.84
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-03 UTC;3278.00;3278.00;0.00;590464.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-03 UTC;147616.00;0.00;161837.00;0.00;42966.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-03 UTC;62565468;2788432;4.27;4136;672352;2104872;3.22;1396304;651192;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-03 UTC;-1;16.90;0.00;4.76;2.75;0.00;75.59
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-04 UTC;4.00;4.00;0.00;32.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-04 UTC;8.00;0.00;3958.00;0.00;102280.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-04 UTC;62945828;2408072;3.68;4144;671732;1753072;2.68;1017144;652084;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-04 UTC;-1;12.30;0.00;1.76;0.00;0.00;85.95
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-05 UTC;3262.00;3244.00;18.00;591200.00;184.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-05 UTC;147800.00;36.00;81962.00;0.00;42847.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-05 UTC;62630180;2723720;4.17;4380;820096;2040284;3.12;1188892;794088;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-05 UTC;-1;15.16;0.00;2.51;3.26;0.00;79.07
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-06 UTC;4.00;4.00;0.00;128.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-06 UTC;32.00;0.00;41105.00;0.00;83136.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-06 UTC;62793400;2560500;3.92;4380;819464;1752648;2.68;1025436;795016;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-06 UTC;-1;12.66;0.00;0.63;0.00;0.00;86.72
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-07 UTC;884.00;884.00;0.00;160992.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-07 UTC;40120.00;0.00;18379.00;0.00;43940.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-07 UTC;62836144;2517756;3.85;4448;860708;2027164;3.10;947132;830608;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-07 UTC;-1;13.23;0.00;0.87;0.87;0.00;85.02
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-08 UTC;2456.00;2456.00;0.00;422144.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-08 UTC;105664.00;0.00;106147.00;0.00;5418.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-08 UTC;62331524;3022376;4.62;4604;965164;2068144;3.16;1346044;934876;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-08 UTC;-1;15.14;0.00;2.00;1.88;0.00;80.98
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-09 UTC;0.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-09 UTC;0.00;0.00;317.00;0.00;86405.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-09 UTC;62654484;2699416;4.13;4604;964632;1748360;2.68;1022088;935340;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-09 UTC;-1;12.39;0.00;0.50;0.00;0.00;87.11
