# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-42 UTC;15943.00;15943.00;0.00;148408.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-42 UTC;67776.00;0.00;37835.00;15402.00;1833.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-42 UTC;64404204;949696;1.45;2060;82660;770560;1.18;140788;12060;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-42 UTC;-1;0.88;0.00;4.40;12.81;0.00;81.91
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-43 UTC;16432.00;16432.00;0.00;131456.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-43 UTC;65736.00;0.00;32982.00;16417.00;495.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-43 UTC;64338368;1015532;1.55;2128;148936;770560;1.18;140656;12068;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-43 UTC;-1;0.38;0.00;2.94;7.79;0.00;88.89
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-44 UTC;15697.00;15697.00;0.00;125576.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-44 UTC;62788.00;0.00;33289.00;15682.00;1047.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-44 UTC;64274104;1079796;1.65;2188;211688;770624;1.18;141576;11988;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-44 UTC;-1;0.26;0.00;2.44;8.08;0.00;89.23
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-45 UTC;16391.00;16391.00;0.00;131128.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-45 UTC;65564.00;0.00;32885.00;16375.00;486.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-45 UTC;64208524;1145376;1.75;2252;276812;770624;1.18;141724;11912;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-45 UTC;-1;0.25;0.00;3.18;7.88;0.00;88.69
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-46 UTC;16435.00;16435.00;0.00;131544.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-46 UTC;65744.00;0.00;35424.00;16415.00;1272.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-46 UTC;64142564;1211336;1.85;2316;342844;770612;1.18;141788;11864;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-46 UTC;-1;0.39;0.00;2.57;7.83;0.00;89.22
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-47 UTC;16410.00;16394.00;16.00;131152.00;168.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-47 UTC;65576.00;32.00;32891.00;16378.00;488.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-47 UTC;64076844;1277056;1.95;2392;408520;770612;1.18;141856;11948;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-47 UTC;-1;0.26;0.00;2.44;8.22;0.00;89.09
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-48 UTC;6131.00;6126.00;5.00;49592.00;28.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-48 UTC;24620.00;6.00;220543.00;6087.00;312475.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-48 UTC;64469800;884100;1.35;1648;16696;769596;1.18;140124;6508;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-48 UTC;-1;0.38;0.00;6.94;4.04;0.00;88.64
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-49 UTC;13762.00;13760.00;2.00;110984.00;4.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-49 UTC;55076.00;2.00;27994.00;13683.00;624.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-49 UTC;64415080;938820;1.44;1768;71800;769856;1.18;140092;6592;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-49 UTC;-1;0.26;0.00;2.31;8.21;0.00;89.23
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-50 UTC;16540.00;16540.00;0.00;135736.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-50 UTC;66764.00;0.00;34746.00;16413.00;1060.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-50 UTC;64348440;1005460;1.54;1904;137988;769820;1.18;140404;7324;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-50 UTC;-1;0.25;0.00;3.68;8.77;0.00;87.29
sasa.cl.cam.ac.uk;1;2013-03-25 15-31-51 UTC;16839.00;16839.00;0.00;134712.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-51 UTC;67360.00;0.00;33784.00;16825.00;483.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-51 UTC;64281372;1072528;1.64;1964;205336;769820;1.18;140692;7760;sasa.cl.cam.ac.uk;1;2013-03-25 15-31-51 UTC;-1;0.25;0.00;5.33;7.87;0.00;86.55
